0,0,100
1,1,99
2,3,99
3,5,99
4,6,99
5,8,99
6,10,99
7,12,99
8,13,99
9,15,98
10,17,98
11,19,98
12,20,97
13,22,97
14,24,97
15,25,96
16,27,96
17,29,95
18,30,95
19,32,94
20,34,93
21,35,93
22,37,92
23,39,92
24,40,91
25,42,90
26,43,89
27,45,89
28,46,88
29,48,87
30,49,86
31,51,85
32,52,84
33,54,83
34,55,82
35,57,81
36,58,80
37,60,79
38,61,78
39,62,77
40,64,76
41,65,75
42,66,74
43,68,73
44,69,71
45,70,70
46,71,69
47,73,68
48,74,66
49,75,65
50,76,64
51,77,62
52,78,61
53,79,60
54,80,58
55,81,57
56,82,55
57,83,54
58,84,52
59,85,51
60,86,50
61,87,48
62,88,46
63,89,45
64,89,43
65,90,42
66,91,40
67,92,39
68,92,37
69,93,35
70,93,34
71,94,32
72,95,30
73,95,29
74,96,27
75,96,25
76,97,24
77,97,22
78,97,20
79,98,19
80,98,17
81,98,15
82,99,13
83,99,12
84,99,10
85,99,8
86,99,6
87,99,5
88,99,3
89,99,1
90,100,0
91,99,-1
92,99,-3
93,99,-5
94,99,-6
95,99,-8
96,99,-10
97,99,-12
98,99,-13
99,98,-15
100,98,-17
101,98,-19
102,97,-20
103,97,-22
104,97,-24
105,96,-25
106,96,-27
107,95,-29
108,95,-30
109,94,-32
110,93,-34
111,93,-35
112,92,-37
113,92,-39
114,91,-40
115,90,-42
116,89,-43
117,89,-45
118,88,-46
119,87,-48
120,86,-49
121,85,-51
122,84,-52
123,83,-54
124,82,-55
125,81,-57
126,80,-58
127,79,-60
128,78,-61
129,77,-62
130,76,-64
131,75,-65
132,74,-66
133,73,-68
134,71,-69
135,70,-70
136,69,-71
137,68,-73
138,66,-74
139,65,-75
140,64,-76
141,62,-77
142,61,-78
143,60,-79
144,58,-80
145,57,-81
146,55,-82
147,54,-83
148,52,-84
149,51,-85
150,49,-86
151,48,-87
152,46,-88
153,45,-89
154,43,-89
155,42,-90
156,40,-91
157,39,-92
158,37,-92
159,35,-93
160,34,-93
161,32,-94
162,30,-95
163,29,-95
164,27,-96
165,25,-96
166,24,-97
167,22,-97
168,20,-97
169,19,-98
170,17,-98
171,15,-98
172,13,-99
173,12,-99
174,10,-99
175,8,-99
176,6,-99
177,5,-99
178,3,-99
179,1,-99
180,0,-100
181,-1,-99
182,-3,-99
183,-5,-99
184,-6,-99
185,-8,-99
186,-10,-99
187,-12,-99
188,-13,-99
189,-15,-98
190,-17,-98
191,-19,-98
192,-20,-97
193,-22,-97
194,-24,-97
195,-25,-96
196,-27,-96
197,-29,-95
198,-30,-95
199,-32,-94
200,-34,-93
201,-35,-93
202,-37,-92
203,-39,-92
204,-40,-91
205,-42,-90
206,-43,-89
207,-45,-89
208,-46,-88
209,-48,-87
210,-50,-86
211,-51,-85
212,-52,-84
213,-54,-83
214,-55,-82
215,-57,-81
216,-58,-80
217,-60,-79
218,-61,-78
219,-62,-77
220,-64,-76
221,-65,-75
222,-66,-74
223,-68,-73
224,-69,-71
225,-70,-70
226,-71,-69
227,-73,-68
228,-74,-66
229,-75,-65
230,-76,-64
231,-77,-62
232,-78,-61
233,-79,-60
234,-80,-58
235,-81,-57
236,-82,-55
237,-83,-54
238,-84,-52
239,-85,-51
240,-86,-50
241,-87,-48
242,-88,-46
243,-89,-45
244,-89,-43
245,-90,-42
246,-91,-40
247,-92,-39
248,-92,-37
249,-93,-35
250,-93,-34
251,-94,-32
252,-95,-30
253,-95,-29
254,-96,-27
255,-96,-25
256,-97,-24
257,-97,-22
258,-97,-20
259,-98,-19
260,-98,-17
261,-98,-15
262,-99,-13
263,-99,-12
264,-99,-10
265,-99,-8
266,-99,-6
267,-99,-5
268,-99,-3
269,-99,-1
270,-100,0
271,-99,1
272,-99,3
273,-99,5
274,-99,6
275,-99,8
276,-99,10
277,-99,12
278,-99,13
279,-98,15
280,-98,17
281,-98,19
282,-97,20
283,-97,22
284,-97,24
285,-96,25
286,-96,27
287,-95,29
288,-95,30
289,-94,32
290,-93,34
291,-93,35
292,-92,37
293,-92,39
294,-91,40
295,-90,42
296,-89,43
297,-89,45
298,-88,46
299,-87,48
300,-86,50
301,-85,51
302,-84,52
303,-83,54
304,-82,55
305,-81,57
306,-80,58
307,-79,60
308,-78,61
309,-77,62
310,-76,64
311,-75,65
312,-74,66
313,-73,68
314,-71,69
315,-70,70
316,-69,71
317,-68,73
318,-66,74
319,-65,75
320,-64,76
321,-62,77
322,-61,78
323,-60,79
324,-58,80
325,-57,81
326,-55,82
327,-54,83
328,-52,84
329,-51,85
330,-50,86
331,-48,87
332,-46,88
333,-45,89
334,-43,89
335,-42,90
336,-40,91
337,-39,92
338,-37,92
339,-35,93
340,-34,93
341,-32,94
342,-30,95
343,-29,95
344,-27,96
345,-25,96
346,-24,97
347,-22,97
348,-20,97
349,-19,98
350,-17,98
351,-15,98
352,-13,99
353,-12,99
354,-10,99
355,-8,99
356,-6,99
357,-5,99
358,-3,99
359,-1,99
360,0,100
